date,calculated_aqi,pm10,pm2_5,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,pressure_msl,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,uv_index,uv_index_clear_sky,ammonia,alder_pollen,birch_pollen,grass_pollen,mugwort_pollen,olive_pollen,ragweed_pollen,dew_point_2m,apparent_temperature,rain,snowfall,weather_code,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,location_name,operator,capacity_mw,county,state,grid,latitude,longitude
2025-09-19,57.99396686544365,29.088236,15.741177,21.999882,82.441086,3.3755548,13.0,1011.9353,175.47058,13.676471,1.682353,68.05882,24.411764,1.4176471,2.4411764,,,,,,,,18.535175,24.951616,13.0,0.0,24.705883,997.5332,63.35294,22.882353,41.058823,30.470589,,0.18114679,0.54694337,4.9378757,182.89958,203.44653,13.468235,24.008707,0.3792353,"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200.0,Kern,CA,LDWP,35.3733,-119.0187
2025-09-20,47.14120383615847,21.633333,11.445834,24.077333,75.27148,3.3139517,0.0,1013.3333,255.5,19.283333,1.1,63.75,18.791666,1.5645833,1.7666668,,,,,,,,19.152334,27.301384,0.0,0.0,0.125,999.0113,5.1666665,0.041666668,5.125,0.0,,0.16566586,0.8195849,5.7212124,157.48125,175.68706,10.889999,24.685667,0.35791668,"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200.0,Kern,CA,LDWP,35.3733,-119.0187
2025-09-21,54.01842957123733,29.633333,13.9875,24.685667,70.366974,3.2102606,0.0,1012.10834,268.45834,17.35,1.3791666,79.375,29.125,1.6,1.7479167,,,,,,,,18.633583,27.693573,0.0,0.0,0.083333336,997.8322,3.5416667,0.0,0.8333333,2.75,,0.16908526,1.0102369,6.066879,154.1001,175.22899,10.544999,24.979416,0.315875,"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200.0,Kern,CA,LDWP,35.3733,-119.0187
2025-09-22,36.278044672263654,19.633333,8.724999,24.477333,63.666992,5.059818,0.0,1010.22504,221.25,16.5625,1.1708333,88.208336,20.416666,1.63125,1.6333333,,,,,,,,16.73775,26.34076,0.0,0.0,0.0,995.9649,1.4166666,0.0,1.0416666,0.41666666,,0.17945713,1.2376848,9.931373,158.88861,174.7298,13.065,24.348167,0.27699998,"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200.0,Kern,CA,LDWP,35.3733,-119.0187
2025-09-23,47.58370721671316,34.370834,11.849999,25.38775,62.852283,4.200998,0.0,1009.04584,249.33333,16.504168,1.4875001,78.583336,40.291668,1.5229167,1.6854167,,,,,,,,17.323166,27.639334,0.0,0.0,0.20833333,994.8444,9.5,0.0,1.9583334,7.6666665,,0.17956239,1.3720597,8.667182,171.82921,178.12547,10.815,24.402334,0.25675002,"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200.0,Kern,CA,LDWP,35.3733,-119.0187
2025-09-24,53.48618220807481,46.579166,13.358334,26.152334,58.26106,8.79949,0.0,1011.72504,182.625,15.795834,1.9708333,76.25,58.583332,1.2375001,1.6437501,,,,,,,,17.133583,27.442953,0.0,0.0,1.8333334,997.5241,55.458332,0.0,40.333332,23.208334,,0.17039897,1.4742848,17.516249,243.84065,206.28398,19.935,24.846085,0.23345834,"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200.0,Kern,CA,LDWP,35.3733,-119.0187
2025-09-25,45.5675747532111,26.020834,11.3625,28.894,50.83172,8.161764,0.0,1012.8,246.45833,16.366667,1.9708333,87.875,26.375,1.3541666,1.5604167,,,,,,,,17.694,30.473042,0.0,0.0,1.0,998.7132,24.0,1.0,24.0,0.0,,0.2727748,1.9565954,13.393983,311.42358,318.81415,18.0,28.044,0.206,"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200.0,Kern,CA,LDWP,35.3733,-119.0187
2025-09-26,38.13479338106607,28.9375,9.162499,,,,0.0,,271.0,12.733334,1.2666667,77.958336,34.333332,1.5520834,1.5854167,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200.0,Kern,CA,LDWP,35.3733,-119.0187
2025-09-27,54.04303966133295,33.55714,14.014285,,,,0.0,,483.14285,28.457142,1.7428571,87.28571,36.57143,0.13571429,0.14285715,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200.0,Kern,CA,LDWP,35.3733,-119.0187
